Market,State,Inbound,Outbound,Net Migration,Population,Median HHI,Median Age,Migration Type
"Fargo, ND-MN Metro Area, Minnesota",,4,0,4,266648.7,77063.1194121801,33,In-State
"Hammond, LA Metro Area, Louisiana",,4,0,4,145404.94,57755.70583363326,35.9,In-State
"Juneau, AK Micro Area, Alaska",,17,13,4,32703.41,102081.54830911406,40,In-State
"Prescott Valley-Prescott, AZ Metro Area, Arizona",,49,45,4,259048.01,70192.25552576246,55.1,In-State
"Sherman-Denison, TX Metro Area, Texas",,7,3,4,165745.58,72206.03734135866,39,In-State
"Sparta, WI Micro Area, Wisconsin",,37,33,4,47815.2,68995.24842218391,39.7,In-State
"Bonham, TX Micro Area, Texas",,3,0,3,40169.09,71409.58270105608,41,In-State
"Eagle Pass, TX Metro Area, Texas",,3,0,3,58184.81,49610.238241131934,30.3,In-State
"Fayetteville-Springdale-Rogers, AR Metro Area, Arkansas",,28,25,3,595750.48,82124.13373908581,34.7,In-State
"Greensboro-High Point, NC Metro Area, North Carolina",,12,9,3,804528.12,65697.36949484069,38.9,In-State
"Hermiston-Pendleton, OR Micro Area, Oregon",,71,68,3,90532.39,68970.24968204898,36.8,In-State
"Russellville, AR Micro Area, Arkansas",,3,0,3,87293.25,57926.19223376096,37.4,In-State
"El Centro, CA Metro Area, California",,15,13,2,180419.37,57712.299114815076,33.2,In-State
"Jackson, MS Metro Area, Mississippi",,72,70,2,630381.63,61554.112808456885,38.4,In-State
"Naples-Marco Island, FL Metro Area, Florida",,34,32,2,423517.01,90746.54563715361,53.3,In-State
"Ontario, OR-ID Micro Area, Oregon",,799,797,2,59525,61686.12015152038,37.6,In-State
"Port Townsend, WA Micro Area, Washington",,8,6,2,30127.58,73995.63618116749,59.8,In-State
"Roseburg, OR Micro Area, Oregon",,32,30,2,109908.11,61912.21667018831,46.5,In-State
